;unixdate;date;m_id;from_user;source;likes_count;repost_count;copy_text;reposter_type
336;1493124953;2017-04-25 15:55:53;3191;195587387;129244038;0;0;;user
337;1493124952;2017-04-25 15:55:52;9656;156141890;129244038;1;1;;user
338;1493124946;2017-04-25 15:55:46;17548;197863962;129244038;0;0;;user
339;1493125011;2017-04-25 15:56:51;7255;174878394;129244038;1;0;;user
340;1493124940;2017-04-25 15:55:40;1717;14162915;129244038;0;0;;user
341;1493124928;2017-04-25 15:55:28;6797;79672984;129244038;0;0;;user
342;1493124920;2017-04-25 15:55:20;1227;227484275;129244038;0;0;;user
343;1493124916;2017-04-25 15:55:16;27593;14602050;129244038;1;1;;user
344;1493124912;2017-04-25 15:55:12;502;333191017;129244038;0;0;;user
345;1493124908;2017-04-25 15:55:08;69880;4367428;129244038;2;0;;user
346;1493124904;2017-04-25 15:55:04;725;267604478;129244038;0;0;;user
347;1493124895;2017-04-25 15:54:55;5145;1349748;129244038;0;0;;user
348;1493124903;2017-04-25 15:55:03;1270;93200715;129244038;0;0;;user
349;1493124893;2017-04-25 15:54:53;4966;2808304;129244038;4;0;;user
350;1493124887;2017-04-25 15:54:47;4170;91109327;129244038;0;0;;user
351;1493124878;2017-04-25 15:54:38;878;15289825;129244038;0;0;;user
352;1493124870;2017-04-25 15:54:30;5049;7823055;129244038;0;0;;user
353;1493124866;2017-04-25 15:54:26;13299;7293772;129244038;0;0;;user
354;1493124851;2017-04-25 15:54:11;755;156799293;129244038;0;0;;user
355;1493124832;2017-04-25 15:53:52;7071;195695643;129244038;0;0;;user
356;1493124832;2017-04-25 15:53:52;2535;21686237;129244038;0;0;;user
357;1493124820;2017-04-25 15:53:40;4219;151965827;129244038;0;0;;user
358;1493124816;2017-04-25 15:53:36;1971;155517100;129244038;0;0;;user
359;1493124810;2017-04-25 15:53:30;4704;329711297;129244038;0;0;;user
360;1493124795;2017-04-25 15:53:15;125;-144316055;129244038;0;0;;group
361;1493124797;2017-04-25 15:53:17;5166;27907263;129244038;1;0;;user
362;1493124787;2017-04-25 15:53:07;3096;29393508;129244038;0;0;;user
363;1493124789;2017-04-25 15:53:09;17606;531560;129244038;0;0;;user
364;1493124784;2017-04-25 15:53:04;11551;223311344;129244038;4;4;;user
365;1493124771;2017-04-25 15:52:51;2058;102413847;129244038;1;0;;user
366;1493124783;2017-04-25 15:53:03;5934;298770400;129244038;0;0;;user
367;1493124753;2017-04-25 15:52:33;6871;5588398;129244038;0;0;;user
368;1493124752;2017-04-25 15:52:32;1537;152284889;129244038;0;0;;user
369;1493124738;2017-04-25 15:52:18;1764;17781876;129244038;0;0;;user
370;1493124733;2017-04-25 15:52:13;6927;17797398;129244038;0;0;;user
371;1493124719;2017-04-25 15:51:59;1334;241103378;129244038;0;0;;user
372;1493124718;2017-04-25 15:51:58;10954;120254690;129244038;0;0;;user
373;1493124709;2017-04-25 15:51:49;1383634;-21239875;129244038;562;86;;group
374;1493124700;2017-04-25 15:51:40;34320;-61874184;129244038;0;0;;group
375;1493124698;2017-04-25 15:51:38;1409;29123052;129244038;0;0;;user
376;1493124685;2017-04-25 15:51:25;3807;29270203;129244038;0;0;;user
377;1493124778;2017-04-25 15:52:58;5362;4918769;129244038;1;0;;user
378;1493124652;2017-04-25 15:50:52;6969;9273459;129244038;0;0;;user
379;1493124655;2017-04-25 15:50:55;1986;87240350;129244038;1;0;;user
380;1493124646;2017-04-25 15:50:46;1446;-63911425;129244038;0;0;;group
381;1493124672;2017-04-25 15:51:12;11464;42218164;129244038;0;0;;user
382;1493124629;2017-04-25 15:50:29;1372;25615146;129244038;0;0;;user
383;1493124607;2017-04-25 15:50:07;1498;239223038;129244038;0;0;;user
384;1493124601;2017-04-25 15:50:01;54282;71964349;129244038;0;0;;user
386;1493124591;2017-04-25 15:49:51;708;172722819;129244038;5;0;;user
387;1493124599;2017-04-25 15:49:59;3402;15723066;129244038;0;0;;user
388;1493124586;2017-04-25 15:49:46;8;-128738618;129244038;;;;group
389;1493124586;2017-04-25 15:49:46;44;-128738766;129244038;;;;group
390;1493124570;2017-04-25 15:49:30;767;30055660;129244038;0;0;;user
391;1493124571;2017-04-25 15:49:31;3298;8106446;129244038;1;1;;user
392;1493124543;2017-04-25 15:49:03;669;392557203;129244038;0;0;;user
393;1493124543;2017-04-25 15:49:03;7528;169490706;129244038;0;0;;user
394;1493124444;2017-04-25 15:47:24;677;22068745;129244038;0;0;;user
395;1493124406;2017-04-25 15:46:46;24650;28235281;129244038;1;0;;user
396;1493124345;2017-04-25 15:45:45;1632;160353910;129244038;0;0;;user
397;1493124340;2017-04-25 15:45:40;13243;204691;129244038;0;0;;user
398;1493124328;2017-04-25 15:45:28;3286;22123070;129244038;0;0;;user
399;1493124316;2017-04-25 15:45:16;4367;240479;129244038;1;0;;user
400;1493124313;2017-04-25 15:45:13;3899;188027718;129244038;0;0;;user
401;1493124312;2017-04-25 15:45:12;3923;91301468;129244038;0;0;;user
402;1493124314;2017-04-25 15:45:14;14927;160166228;129244038;0;0;;user
403;1493124304;2017-04-25 15:45:04;461;305529785;129244038;3;1;;user
404;1493124291;2017-04-25 15:44:51;3660;265618467;129244038;0;0;;user
405;1493124283;2017-04-25 15:44:43;1936;269855584;129244038;0;0;;user
406;1493124271;2017-04-25 15:44:31;485;386127034;129244038;0;0;;user
407;1493124263;2017-04-25 15:44:23;1358;221736954;129244038;0;0;;user
408;1493124223;2017-04-25 15:43:43;62640;2093965;129244038;2;1;;user
409;1493124206;2017-04-25 15:43:26;11;333015790;129244038;0;0;;user
410;1493124204;2017-04-25 15:43:24;1251;33445766;129244038;1;0;;user
411;1493124184;2017-04-25 15:43:04;30;421454606;129244038;0;0;;user
412;1493124183;2017-04-25 15:43:03;1048;241969302;129244038;0;0;;user
413;1493124188;2017-04-25 15:43:08;159;31469305;129244038;0;0;;user
414;1493124180;2017-04-25 15:43:00;24;-145167244;129244038;1;0;;group
415;1493124168;2017-04-25 15:42:48;586;7302553;129244038;0;0;;user
416;1493124155;2017-04-25 15:42:35;3258;48036662;129244038;0;0;;user
417;1493124150;2017-04-25 15:42:30;9012;134983380;129244038;1;0;;user
418;1493124118;2017-04-25 15:41:58;2356;88587373;129244038;1;0;;user
419;1493124121;2017-04-25 15:42:01;3121;1490004;129244038;0;0;;user
420;1493124116;2017-04-25 15:41:56;929;94823861;129244038;0;0;;user
421;1493124113;2017-04-25 15:41:53;1227;167547081;129244038;0;0;;user
422;1493124098;2017-04-25 15:41:38;8205;185385878;129244038;0;0;;user
423;1493124102;2017-04-25 15:41:42;1985;87812277;129244038;0;0;;user
424;1493124099;2017-04-25 15:41:39;2154;43932392;129244038;0;0;;user
425;1493124073;2017-04-25 15:41:13;6591;163439;129244038;1;0;;user
426;1493124054;2017-04-25 15:40:54;6787;116059931;129244038;0;0;;user
427;1493124038;2017-04-25 15:40:38;4488;136132843;129244038;0;0;;user
428;1493124105;2017-04-25 15:41:45;4405;114050219;129244038;0;0;;user
429;1493124031;2017-04-25 15:40:31;7936;41334465;129244038;0;0;;user
430;1493124015;2017-04-25 15:40:15;1169;-50642025;129244038;0;0;;group
431;1493124012;2017-04-25 15:40:12;38173;134909828;129244038;0;0;;user
432;1493123998;2017-04-25 15:39:58;17361;4881353;129244038;0;0;;user
433;1493123976;2017-04-25 15:39:36;27396;154005718;129244038;0;0;;user
434;1493123998;2017-04-25 15:39:58;19475;39630084;129244038;1;0;;user
435;1493123972;2017-04-25 15:39:32;5108;599313;129244038;0;0;;user
436;1493123971;2017-04-25 15:39:31;510;-142210756;129244038;0;0;;group
437;1493123966;2017-04-25 15:39:26;1249;187274438;129244038;0;0;;user
